candidate_id,normalized_core,first_year,last_year,span_years,case_count,related_award_amount,unit_names,titles,reason
candidate_383ce96953d6,北昌太昌村國興里分支管網用戶接管第二標,2019,2022,4,4,854447247,花蓮縣政府,北昌、太昌村、國興里分支管網及用戶接管工程(第二標),同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_baac9a9fa0f9,花蓮縣新建圖書館統包,2022,2024,3,2,849429000,花蓮縣文化局,花蓮縣新建圖書館統包工程；花蓮縣新建圖書館統包工程-後續擴充,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_8bdcf1decb92,縣193線19K+840~22K+500南海四街至花蓮大橋段路段拓寬,2019,2023,5,4,499603908,花蓮縣政府,縣193線19K+840~22K+500(南海四街至花蓮大橋段)路段拓寬工程；縣193線19K+840~22K+500(南海四街至花蓮大橋段)路段拓寬工程(第一次變更設計)；縣193線19K+840~22K+500(南海四街至花蓮大橋段)路段拓寬工程(第二次變更設計)；縣193線19K+840~22K+500(南海四街至花蓮大橋段)路段拓寬工程(第三次變更設計),同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_bf38baad836f,花蓮地區水資源回收中心委外代操作維護管理工作,2012,2025,14,5,404787338,花蓮縣政府,花蓮地區水資源回收中心委外代操作維護管理工作,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_2f5d78c763c4,北昌太昌村國興里分支管網用戶接管第一標,2017,2020,4,2,337960118,花蓮縣政府,北昌、太昌村、國興里分支管網及用戶接管工程(第一標),同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_7dba4f4cefd1,花蓮市日出觀光香榭大道整體景觀,2019,2023,5,4,337720081,花蓮縣政府,花蓮市日出觀光香榭大道整體景觀工程；花蓮市日出觀光香榭大道整體景觀工程(第一次變更設計)；花蓮市日出觀光香榭大道整體景觀工程-(第二次變更設計)；花蓮市日出觀光香榭大道整體景觀工程-(第三次變更設計),同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_7147ebe4d26d,花蓮縣全民運動館,2024,2026,3,4,271493902,花蓮縣政府,花蓮縣全民運動館興建工程；「花蓮縣全民運動館興建工程」第一次變更設計；花蓮縣全民運動館興建工程-第2次變更設計；「花蓮縣全民運動館興建工程」第3次變更設計,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_c415abf0964c,至花蓮縣風災災後復建A區,2024,2026,3,2,228433619,花蓮縣政府,112年度至113年度花蓮縣(風災)災後復建工程 (A區)；112年度至113年度花蓮縣(風災)災後復建工程(A區)第一次變更設計,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_ba9a0d2a0281,花蓮縣垃圾轉運處理,2017,2021,5,2,225327932,花蓮縣政府,花蓮縣垃圾轉運處理計畫,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_ffdee9b04664,花蓮縣公有路邊停車路外停車場委託民間經營管理,2022,2026,5,2,212142912,花蓮縣政府,112年度花蓮縣公有路邊停車及路外停車場委託民間經營管理；112年度花蓮縣公有路邊停車及路外停車場委託民間經營管理-後續擴充,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_8f35598f4c11,花蓮縣路邊停車收費停車場委託民間經營管理專業,2013,2019,7,3,198023348,花蓮縣政府,花蓮縣102年路邊停車收費停車場委託民間經營管理專業勞務採購案；花蓮縣105年路邊停車收費停車場委託民間經營管理專業勞務採購案；花蓮縣108年路邊停車收費停車場委託民間經營管理專業勞務採購案,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_2fec6c9f74f7,花蓮縣身心障礙者復康巴士交通服務,2018,2026,9,11,190752520,花蓮縣政府,花蓮縣身心障礙者復康巴士交通服務；111年度花蓮縣身心障礙者復康巴士交通服務；112年度花蓮縣身心障礙者復康巴士交通服務；114年度花蓮縣身心障礙者復康巴士交通服務；114年度花蓮縣身心障礙者復康巴士交通服務契約變更案；「114年度花蓮縣身心障礙者復康巴士交通服務勞務採購案」後續擴充,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_c2d0742bf657,花蓮市日出觀光香榭大道整體景觀石材採購,2018,2022,5,2,186664268,花蓮縣政府,「花蓮市日出觀光香榭大道整體景觀工程」石材採購案；花蓮市日出觀光香榭大道整體景觀工程石材採購後續擴充,同機關且標題核心相同，尚待人工確認是否為同一專案
candidate_68ce8fb14bbc,花蓮縣立田徑場看臺屋頂薄膜整建,2022,2024,3,2,179668858,花蓮縣政府,花蓮縣立田徑場看臺屋頂薄膜整建工程；「花蓮縣立田徑場看臺屋頂薄膜整建工程」第二次變更設計,同機關且標題核心相同，尚待人工確認是否為同一專案
