family_id,family_name,case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,parent_job_number,title,project_stage,match_method,match_confidence,budget_amount,award_amount,winning_vendors,performance_period,source_url
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1040002497|20151230|BDM-1-51740377,2015,20151230,2015-12-24,3.76.55,花蓮縣政府,AB1040002497,,花蓮縣綜合發展實施方案-1.3.3原住民族傳統藝術豐羽計畫委託規劃設計案,規劃設計監造,人工別名：原住民族傳統藝術豐羽,高,5350000,5350000,曹羅羿建築師事務所,104/12/25－105/12/31(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20151230&fn=BDM-1-51740377.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1090002841-1|20210503|BDM-1-53391603,2021,20210503,2021-04-29,3.76.55,花蓮縣政府,AB1090002841-1,,原住民族傳統藝術豐羽計畫工程委託監造技術服務工作,規劃設計監造,人工別名：原住民族傳統藝術豐羽,高,5538845,5520900,曹羅羿建築師事務所,110/04/29－112/07/31(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210503&fn=BDM-1-53391603.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1100003563|20211223|BDM-1-53598720,2021,20211223,2021-12-16,3.76.55,花蓮縣政府,AB1100003563,,原住民族傳統藝術豐羽計畫工程,工程,人工別名：原住民族傳統藝術豐羽,高,187796909,185600000,長富營造有限公司,111/03/01－112/12/21(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20211223&fn=BDM-1-53598720.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1110000592|20220413|BDM-1-53696327,2022,20220413,2022-04-11,3.76.55,花蓮縣政府,AB1110000592,,原住民族傳統藝術豐羽計畫工程活動及典禮專業服務案(開口契約),活動／宣傳,人工別名：原住民族傳統藝術豐羽,高,998052,997940,法老王整合行銷有限公司,111/04/11－113/05/01(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220413&fn=BDM-1-53696327.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1110001806|20221003|aaa-70104241,2022,20221003,2022-09-22,3.76.55,花蓮縣政府,AB1110001806,,「原住民族傳統藝術豐羽計畫興建工程」公共藝術設置行政委託專業服務,工程,人工別名：原住民族傳統藝術豐羽,高,200000,200000,埕型創藝有限公司,111/09/22－112/11/30,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAxMDQyNDE=
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1100003563-1|20231222|BDM-1-70463005,2023,20231222,2023-12-19,3.76.55,花蓮縣政府,AB1100003563-1,AB1100003563,原住民族傳統藝術豐羽計畫工程-第一次契約變更,契約變更／後續擴充,人工別名：原住民族傳統藝術豐羽,高,7519302,7143337,長富營造有限公司,,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20231222&fn=BDM-1-70463005.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1100003563-2|20240102|BDM-1-70475176,2024,20240102,2023-12-28,3.76.55,花蓮縣政府,AB1100003563-2,AB1100003563,原住民族傳統藝術豐羽計畫工程-第二次契約變更,契約變更／後續擴充,人工別名：原住民族傳統藝術豐羽,高,6126286,5839972,長富營造有限公司,112/12/28－113/04/29(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475176.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1100003563-3|20240711|BDM-1-70624102,2024,20240711,2024-05-08,3.76.55,花蓮縣政府,AB1100003563-3,AB1100003563,原住民族傳統藝術豐羽計畫工程-第3次契約變更,契約變更／後續擴充,人工別名：原住民族傳統藝術豐羽,高,58599802,55660000,長富營造有限公司,113/05/08－114/02/21(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240711&fn=BDM-1-70624102.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1130006309|20241121|BDM-1-70721038,2024,20241121,2024-11-07,3.76.55,花蓮縣政府,AB1130006309,,花蓮縣政府豐羽館委託規劃勞務採購案,規劃,人工別名：豐羽館,高,1600000,1600000,創略廣告股份有限公司,113/11/08－114/05/30,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20241121&fn=BDM-1-70721038.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1140003220|20250729|BDM-1-70938079,2025,20250729,2025-07-23,3.76.55,花蓮縣政府,AB1140003220,,花蓮縣政府豐羽館展覽策展勞務採購案,營運／策展,人工別名：豐羽館,高,15000000,15000000,森深試務所有限公司,114/07/23－115/11/30,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20250729&fn=BDM-1-70938079.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1140004210-1|20250917|BDM-1-70974011,2025,20250917,2025-09-11,3.76.55,花蓮縣政府,AB1140004210-1,,原住民族傳統藝術豐羽計畫工程(第二期),第二期,人工別名：原住民族傳統藝術豐羽,高,113058404,113058404,長富營造有限公司,114/09/30－115/11/24(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20250917&fn=BDM-1-70974011.xml
hualien_fengyu,原住民族傳統藝術豐羽計畫,3.76.55|AB1150000978|20260513|BDM-1-71176998,2026,20260513,2026-04-24,3.76.55,花蓮縣政府,AB1150000978,,豐羽計畫災後復建工程-規劃設計監造,規劃設計監造,人工別名：豐羽計畫,高,3463098,3463098,曹羅羿建築師事務所,115/04/24－116/02/18(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20260513&fn=BDM-1-71176998.xml
hualien_shanhai_fengyu_shared,山海劇場與豐羽共同支援計畫,3.76.55|AB1110001630|20220629|aaa-70023007,2022,20220629,2022-06-27,3.76.55,花蓮縣政府,AB1110001630,,111年原住民族山海劇場暨豐羽計畫人才培育參訪觀摩活動勞務採購案,活動／宣傳,人工別名：山海劇場暨豐羽計畫人才培育,高,286320,286320,原昇旅行社有限公司,111/06/28－111/07/31(預估),https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwMjMwMDc=
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1010000688|20120607|BDM-1-50702161,2012,20120607,2012-05-28,3.76.55,花蓮縣政府,AB1010000688,,101年度山海劇場興建委託計畫可行性評估及初步規劃技術服務採購,可行性評估,人工別名：山海劇場,高,2200000,2000000,安中工程顧問有限公司,101/05/28－101/11/24,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20120607&fn=BDM-1-50702161.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1030001364|20140829|BDM-1-51341848,2014,20140829,2014-08-22,3.76.55,花蓮縣政府,AB1030001364,,花蓮縣山海劇場可行性評估委託專業服務案,可行性評估,人工別名：山海劇場,高,3750000,3750000,惇陽工程顧問有限公司,103/08/23－104/07/18,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20140829&fn=BDM-1-51341848.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1060000200|20171011|BDM-1-52255009,2017,20171011,2017-09-27,3.76.55,花蓮縣政府,AB1060000200,,原住民族山海劇場暨加路蘭廣場興建規劃設計監造,規劃設計監造,人工別名：加路蘭廣場,高,12820000,12179000,潘天壹建築師事務所,106/10/31－107/12/31(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20171011&fn=BDM-1-52255009.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1070002694|20181222|BDM-1-52653528,2018,20181222,2018-12-12,3.76.55,花蓮縣政府,AB1070002694,,擬定磯崎風景特定區山海劇場暨加路蘭廣場細部計畫勞務採購案,規劃,人工別名：加路蘭廣場,高,619500,595000,東台規劃顧問有限公司,107/12/12－108/12/07(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20181222&fn=BDM-1-52653528.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1090001325|20200717|BDM-1-53144009,2020,20200717,2020-07-13,3.76.55,花蓮縣政府,AB1090001325,,109年花蓮縣山海劇場營運規劃前置作業委託技術服務案,營運／策展,人工別名：山海劇場,高,1600000,1600000,聚得企管顧問有限公司,109/07/14－110/03/11(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20200717&fn=BDM-1-53144009.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|IP1100076431|20210602|BDM-1-53417141,2021,20210602,2021-05-25,3.76.55,花蓮縣政府,IP1100076431,,原住民族山海劇場暨加路蘭廣場興建-儲物間拆除工程,工程,人工別名：加路蘭廣場,高,250373,186000,興日鴻土木包工業(獨資),110/06/11－110/07/05(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210602&fn=BDM-1-53417141.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|IP1100002562|20211019|BDM-1-53528832,2021,20211019,2021-09-23,3.76.55,花蓮縣政府,IP1100002562,,原住民族山海劇場暨加路蘭廣場興建工程,工程,人工別名：加路蘭廣場,高,178400565,173048000,東鼎營造工程有限公司,110/12/24－113/08/30(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20211019&fn=BDM-1-53528832.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|IP1110000394|20220303|aaa-53662489,2022,20220303,2022-02-21,3.76.55,花蓮縣政府,IP1110000394,,原住民族山海劇場暨加路蘭廣場興建工程-開工典禮,活動／宣傳,人工別名：加路蘭廣場,高,350000,350000,法老王整合行銷有限公司,111/03/12－111/03/14(預估),https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTM2NjI0ODk=
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|AB1060000200-1|20220822|aaa-70070501,2022,20220822,2022-07-13,3.76.55,花蓮縣政府,AB1060000200-1,,原住民族山海劇場暨加路蘭廣場興建規劃設計監造-變更,規劃設計監造,人工別名：加路蘭廣場,高,883850,821980,潘天壹建築師事務所,111/08/01－112/12/31(預估),https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NzAwNzA1MDE=
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|IP1100002562-1|20231226|BDM-1-70466260,2023,20231226,2023-12-19,3.76.55,花蓮縣政府,IP1100002562-1,IP1100002562,原住民族山海劇場暨加路蘭廣場興建工程-第一次契約變更,契約變更／後續擴充,人工別名：加路蘭廣場,高,33855077,32839427,東鼎營造工程有限公司,,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20231226&fn=BDM-1-70466260.xml
hualien_shanhai_theater,原住民族山海劇場暨加路蘭廣場,3.76.55|IP1100002562-2|20240313|BDM-1-70530265,2024,20240313,2024-02-29,3.76.55,花蓮縣政府,IP1100002562-2,IP1100002562,原住民族山海劇場暨加路蘭廣場新建工程-第二次契約變更,契約變更／後續擴充,人工別名：加路蘭廣場,高,36300499,34484813,東鼎營造工程有限公司,113/02/29－114/06/30(預估),https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240313&fn=BDM-1-70530265.xml
