year,date,stage,unit_id,job_number,issue,raw_file
2026,20260101,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260103,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260104,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260110,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260111,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260117,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260118,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260207,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260208,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260214,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260215,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260216,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260217,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260218,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260220,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260221,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260222,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260227,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260228,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260307,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260308,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260314,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260315,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2026,20260321,daily,,,非 JSON 回應：text/html; charset=UTF-8,
