case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.76.55|AB1090002677|20210104|BDM-1-53298283,2021,20210104,2020-12-30,3.76.55,花蓮縣政府,AB1090002677,109年度撒奇萊雅族火神祭文化資產先期調查研究與評估計畫,<勞務類>843資料處理服務,公開取得報價單或企劃書,參考最有利標精神,520000,520000,1,財團法人帝瓦伊撒耘文化藝術基金會,花蓮縣(原住民地區),花蓮縣－花蓮,109/12/31－110/07/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53298283.xml,data/raw/hualien/2021/tenders/20210104_3.76.55_AB1090002677.json
3.76.55|AB1090003304|20210104|BDM-1-53298179,2021,20210104,2020-12-31,3.76.55,花蓮縣政府,AB1090003304,109年度東大門夜市原住民一條街手搖式伸縮遮雨棚設施財物採購案,<財物類>389其他製造商品,公開取得報價單或企劃書,最低標,476101,428000,1,鈺祥企業社(獨資),花蓮縣(原住民地區),花蓮縣－花蓮,109/12/31－110/06/30,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53298179.xml,data/raw/hualien/2021/tenders/20210104_3.76.55_AB1090003304.json
3.76.55|ED1091203|20210104|BDM-1-53297477,2021,20210104,2020-12-25,3.76.55,花蓮縣政府,ED1091203,2021科技教育與人文藝術成果聯展,"<勞務類>96娛樂,文化,體育服務",公開取得報價單或企劃書,參考最有利標精神,970000,970000,1,光點整合行銷有限公司,花蓮縣(原住民地區),花蓮縣－花蓮,109/12/29－110/01/14(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53297477.xml,data/raw/hualien/2021/tenders/20210104_3.76.55_ED1091203.json
3.76.55|SK1090002000|20210104|BDM-1-53297450,2021,20210104,2020-12-31,3.76.55,花蓮縣政府,SK1090002000,花蓮縣政府110年度辦公廳舍及環境清潔維護工作勞務採購案,<勞務類>874建築物清潔服務,限制性招標(經公開評選或公開徵求),準用最有利標,1650000,1567500,1,羽亭工程行(獨資),花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53297450.xml,data/raw/hualien/2021/tenders/20210104_3.76.55_SK1090002000.json
3.76.55.20|FI1091203OC|20210104|aaa-53300315,2021,20210104,2020-12-31,3.76.55.20,花蓮縣消防局,FI1091203OC,花蓮縣消防局110年度消防人員及職員鞋品(含皮鞋、休閒鞋)採購案,"<財物類>29皮革與皮革品,鞋靴",公開取得報價單或企劃書,參考最有利標精神,480000,480000,1,百隆皮鞋有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/04－110/05/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTMzMDAzMTU=,data/raw/hualien/2021/tenders/20210104_3.76.55.20_FI1091203OC.json
3.76.55.3.5|EPB1090034812|20210104|BDM-1-53296713,2021,20210104,2020-12-25,3.76.55.3.5,花蓮縣環境保護局,EPB1090034812,110年花蓮縣低碳旅遊書冊編撰計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,1200000,1160000,1,點子智慧傳播事業有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53296713.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.3.5_EPB1090034812.json
3.76.55.3.5|EPB1091026|20210104|BDM-1-53297090,2021,20210104,2020-12-25,3.76.55.3.5,花蓮縣環境保護局,EPB1091026,110年度花蓮縣電動機車推廣設置計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,2940000,2830000,1,日揚環境工程有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53297090.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.3.5_EPB1091026.json
3.76.55.3.5|EPB109112001|20210104|BDM-1-53298146,2021,20210104,2020-12-24,3.76.55.3.5,花蓮縣環境保護局,EPB109112001,110年度花蓮縣資源回收暨營建廢棄物稽查計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,9050000,8700000,1,新翊環境有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53298146.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.3.5_EPB109112001.json
3.76.55.3.5|EPB109112002|20210104|BDM-1-53298136,2021,20210104,2020-12-24,3.76.55.3.5,花蓮縣環境保護局,EPB109112002,110年度花蓮縣資源回收推動與宣導活動工作計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,7500000,7220000,1,新翊環境有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53298136.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.3.5_EPB109112002.json
3.76.55.3.5|EPB1100204|20210104|BDM-1-53297740,2021,20210104,2020-12-25,3.76.55.3.5,花蓮縣環境保護局,EPB1100204,110年度花蓮縣柴油車檢驗計畫,<勞務類>865管理顧問服務,限制性招標(經公開評選或公開徵求),準用最有利標,17120000,16430000,1,春迪企業股份有限公司,花蓮縣(原住民地區),花蓮縣－全區,110/01/01－110/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53297740.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.3.5_EPB1100204.json
3.76.55.53|1091218-1|20210104|BDM-1-53296807,2021,20210104,2020-12-28,3.76.55.53,花蓮縣玉里鎮公所,1091218-1,福音聚會所修繕工程,<工程類>5139其他土木工程,公開招標,最低標,5058514,4070000,1,昱陽營造有限公司,花蓮縣(原住民地區),花蓮縣－玉里,109/12/31－110/02/17(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20210104&fn=BDM-1-53296807.xml,data/raw/hualien/2021/tenders/20210104_3.76.55.53_1091218-1.json
3.76.55.55|1091210T|20210104|aaa-53300176,2021,20210104,2020-12-29,3.76.55.55,花蓮縣吉安鄉公所,1091210T,110年度春安工作人員慰問禮品採購案,<財物類>389其他製造商品,公開取得報價單或企劃書,參考最有利標精神,267000,250000,1,榮騰興業社(獨資),花蓮縣(原住民地區),花蓮縣－吉安,110/01/01－110/01/15(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTMzMDAxNzY=,data/raw/hualien/2021/tenders/20210104_3.76.55.55_1091210T.json
3.76.55.57|110GFGY|20210104|aaa-53299380,2021,20210104,2021-01-04,3.76.55.57,花蓮縣光復鄉公所,110GFGY,110年度光復鄉公園綠地管理維護勞務採購開口契約,<勞務類>881附帶於農、牧、林之服務,公開取得報價單或企劃書,最低標,900000,584000,1,合興企業社(獨資),花蓮縣(原住民地區),花蓮縣－光復,110/01/01－110/12/31,,,,0,1,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTMyOTkzODA=,data/raw/hualien/2021/tenders/20210104_3.76.55.57_110GFGY.json
