year,date,stage,unit_id,job_number,issue,raw_file
2015,20150103,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150104,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150111,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150118,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150120,normalize,3.87.35,1040108B,缺少得標廠商,data/raw/taichung/2015/tenders/20150120_3.87.35_1040108B.json
2015,20150124,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150125,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150131,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150201,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150208,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150218,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150219,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150220,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150221,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150222,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150301,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150307,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150308,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150315,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150404,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150405,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150406,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150418,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150510,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150531,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150614,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150620,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150621,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150627,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150711,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150718,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150719,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150725,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150726,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150801,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150802,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150808,daily,,,非 JSON 回應：text/html; charset=UTF-8,
2015,20150809,daily,,,非 JSON 回應：text/html; charset=UTF-8,
