case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.1|11010221352|20220103|aaa-53612346,2022,20220103,2021-12-24,3.87.1,臺中市政府秘書處,11010221352,111年度臺中市政府公報承印,"<財物類>32紙漿,紙及紙產品;印刷品及相關的商品",公開取得電子報價單,最低標,280000,138240,1,社團法人高雄市寶慶身心障礙福利協會,臺中市(非原住民地區),臺中市－西屯區,111/01/01－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/urlSelector/common/atm?pk=NTM2MTIzNDY=,data/raw/taichung/2022/tenders/20220103_3.87.1_11010221352.json
3.87.10|110B-040|20220103|BDM-1-53610697,2022,20220103,2021-12-30,3.87.10,臺中市政府建設局,110B-040,111年景觀總顧問委託專業服務案,<勞務類>8675與科技工程有關之顧問服務,經公開評選或公開徵求之限制性招標,準用最有利標,7000000,6950000,1,朝陽科技大學,臺中市(非原住民地區),臺中市－全區,111/01/09－112/02/28(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610697.xml,data/raw/taichung/2022/tenders/20220103_3.87.10_110B-040.json
3.87.10|110B-047|20220103|BDM-1-53610712,2022,20220103,2021-12-30,3.87.10,臺中市政府建設局,110B-047,臺中市水湳經貿園區品牌識別設計及活動整合規畫執行案,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,6400000,6360000,1,橙希創意行銷有限公司,臺中市(非原住民地區),臺中市－西屯區,111/01/09－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610712.xml,data/raw/taichung/2022/tenders/20220103_3.87.10_110B-047.json
3.87.10.1|110A-131|20220103|BDM-1-53611507,2022,20220103,2021-12-30,3.87.10.1,臺中市新建工程處,110A-131,「第14期市地重劃區增設8公尺巷道及崇德十路貫通台74號橋下空間至昌平路等工程」第二次變更設計,<工程類>5139其他土木工程,限制性招標(未經公開評選或公開徵求),最低標,3392937,3300000,1,欣隆營造有限公司,臺中市(非原住民地區),臺中市－北屯區,111/01/09－111/01/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611507.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.1_110A-131.json
3.87.10.2|110A-113|20220103|BDM-1-53610974,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110A-113,111年度臺中市山線工程隊轄內市養道路及排水改善工程(豐原、石岡區及鄰近區域),"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,13150000,10570000,1,墩興營造有限公司,臺中市(非原住民地區),臺中市豐原、石岡區及鄰近區域,111/01/08－112/04/30(預估),,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610974.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110A-113.json
3.87.10.2|110A-142|20220103|BDM-1-53610954,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110A-142,111年度臺中市山線工程隊轄區內道路及排水改善暨緊急搶修工程(豐原區及鄰近區域),"<工程類>5131快速道路(不含高架快速道路),街道,馬路,鐵路及機場跑道",公開招標,最低標,8000000,6920000,1,久統營造有限公司,臺中市(非原住民地區),臺中市豐原區及鄰近區域,111/01/08－112/04/30(預估),,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610954.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110A-142.json
3.87.10.2|110A-147|20220103|BDM-1-53611520,2022,20220103,2021-12-24,3.87.10.2,臺中市養護工程處,110A-147,臺中市111年度園道綠地行道樹植栽改善工程(水湳經貿園區、草悟道及鄰近區域),<工程類>5139其他土木工程,公開招標,最低標,9723013,6600000,1,濬廣企業有限公司,臺中市(非原住民地區),臺中市－水湳經貿園區、草悟道及鄰近區域(含其他機關依需要指派地點，本案視需要得跨區支援),111/01/03－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611520.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110A-147.json
3.87.10.2|110A-216|20220103|BDM-1-53611607,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110A-216,111年度臺中市海線工程隊轄區人行陸橋、地下道清潔及設施維護工程,<工程類>5139其他土木工程,公開招標,最低標,5831680,4710000,1,銓安安全系統有限公司,臺中市(非原住民地區),"臺中市－沙鹿區,臺中市－梧棲區,臺中市－清水區,臺中市－大甲區,臺中市－外埔區,臺中市－大安區",111/01/08－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611607.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110A-216.json
3.87.10.2|110B-050|20220103|BDM-1-53610928,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-050,111年度臺中市道路挖掘完工查(抽)驗委託技術服務案,<勞務類>8673綜合工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,14000000,12900000,1,明廷工程顧問有限公司,臺中市(非原住民地區),臺中市－全區,111/01/08－111/12/31(預估),,,申挖修補,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610928.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-050.json
3.87.10.2|110B-052|20220103|BDM-1-53609961,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-052,臺中市111年度亮點型公園綠美化維護工作-臺中公園、北屯兒童公園、秋紅谷及廣六,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,18082973,17350000,1,全勝園藝事業有限公司,臺中市(非原住民地區),"臺中市－中區,臺中市－北區,臺中市－西屯區,臺中市－北屯區",111/01/08－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53609961.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-052.json
3.87.10.2|110B-062|20220103|BDM-1-53610905,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-062,臺中市111年度公園安全維護勞務契約-坪林森林公園,<勞務類>873調查及保安服務,經公開評選或公開徵求之限制性招標,準用最有利標,1555920,1460000,1,維新保全股份有限公司,臺中市(非原住民地區),臺中市－太平區,111/01/08－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53610905.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-062.json
3.87.10.2|110B-064|20220103|BDM-1-53611295,2022,20220103,2021-12-28,3.87.10.2,臺中市養護工程處,110B-064,臺中市111年度行道樹、園道、綠地綠美化維護勞務採購-南區,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,12356000,11400000,1,欣旺園藝事業有限公司,臺中市(非原住民地區),臺中市南區,111/01/07－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611295.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-064.json
3.87.10.2|110B-071|20220103|BDM-1-53611101,2022,20220103,2021-12-28,3.87.10.2,臺中市養護工程處,110B-071,111年度臺中市小型工程委外設計監造案(清水區、大安區及鄰近區域),<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,6065000,5637400,1,富林工程技術顧問有限公司,臺中市(非原住民地區),"清水區,大安區及鄰近區域",111/01/07－111/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611101.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-071.json
3.87.10.2|110B-075|20220103|BDM-1-53611745,2022,20220103,2021-12-30,3.87.10.2,臺中市養護工程處,110B-075,111年度臺中市道路景觀綠美化維護勞務採購-北屯路以東,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,10386221,9760000,1,寶徠興企業有限公司,臺中市(非原住民地區),"臺中市－北區,臺中市－北屯區",111/01/09－111/12/31(預估),北屯路,標案名稱,,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611745.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-075.json
3.87.10.2|110B-076|20220103|BDM-1-53611178,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-076,111年度臺中市北屯區道路及排水等小型工程委託設計監造技術服務案,<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,7825000,7481750,1,吉成工程顧問股份有限公司,臺中市(非原住民地區),臺中市－北屯區,111/01/08－111/12/31(預估),,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611178.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-076.json
3.87.10.2|110B-078|20220103|BDM-1-53609842,2022,20220103,2021-12-27,3.87.10.2,臺中市養護工程處,110B-078,110年度臺中市中央公園綠美化維護管理工作勞務採購(開口契約),<勞務類>97其他服務,公開招標,最低標,4700000,3532000,1,元韻園藝綠化有限公司,臺中市(非原住民地區),臺中市－西屯區,111/01/06－111/12/31(預估),,,,0,1,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53609842.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-078.json
3.87.10.2|110B-087|20220103|BDM-1-53609939,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-087,臺中市111年度公園廣場維護工程委託設計監造技術服務(第1標),<勞務類>8672工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,5535000,5202900,1,翊榕環境設計有限公司,臺中市(非原住民地區),臺中市－全區,111/01/08－112/06/30(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53609939.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-087.json
3.87.10.2|110B-102|20220103|BDM-1-53611140,2022,20220103,2021-12-29,3.87.10.2,臺中市養護工程處,110B-102,109年度臺中市潭子、大雅、神岡等區道路及排水等小型工程委託設計監造技術服務案(第二次契約變更),<勞務類>8672工程服務,限制性招標(未經公開評選或公開徵求),最低標,643002,535835,1,承泰工程技術顧問有限公司,臺中市(非原住民地區),"臺中市－潭子區,臺中市－大雅區,臺中市－神岡區及鄰近行政區域",111/01/08－111/12/31(預估),,,排水清淤,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611140.xml,data/raw/taichung/2022/tenders/20220103_3.87.10.2_110B-102.json
3.87.12.2|1101116|20220103|BDM-1-53611394,2022,20220103,2021-12-30,3.87.12.2,臺中市家庭暴力及性侵害防治中心,1101116,111年度臺中市婦幼庇護安置及保護輔導服務方案,<勞務類>911政府行政服務,經公開評選或公開徵求之限制性招標,準用最有利標,3760000,3760000,1,財團法人天主教善牧社會福利基金會,臺中市(非原住民地區),臺中市－全區,111/01/01－111/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611394.xml,data/raw/taichung/2022/tenders/20220103_3.87.12.2_1101116.json
3.87.12.2|1101116D|20220103|BDM-1-53611457,2022,20220103,2021-12-30,3.87.12.2,臺中市家庭暴力及性侵害防治中心,1101116D,111年度臺中市家庭暴力及離婚案件未成年子女會面服務方案,<勞務類>911政府行政服務,經公開評選或公開徵求之限制性招標,準用最有利標,2970000,2970000,1,財團法人「張老師」基金會台中分事務所,臺中市(非原住民地區),臺中市－全區,111/01/01－111/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20220103&fn=BDM-1-53611457.xml,data/raw/taichung/2022/tenders/20220103_3.87.12.2_1101116D.json
