case_key,year,announcement_date,award_date,unit_id,unit_name,job_number,title,procurement_category,tender_method,award_method,budget_amount,award_amount,winner_count,winning_vendors,performance_location,performance_region,performance_period,road_names,road_name_source,work_tags,is_road_related,is_open_contract,source_url,raw_file
3.87.1|11208291114|20240102|BDM-1-70476506,2024,20240102,2023-12-26,3.87.1,臺中市政府秘書處,11208291114,臺中市政府陽明市政大樓員工餐廳113-114年各櫃位委託經營管理案,<勞務類>642提供食物服務,公開取得報價單或企劃書,參考最有利標精神,0,275200,5,林阿梅；張榕芝；紀阿祝；劉桂春；應雪愛,臺中市(非原住民地區),臺中市－豐原區,113/01/01－114/12/31,,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70476506.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11208291114.json
3.87.1|11209261430|20240102|BDM-1-70476273,2024,20240102,2023-12-27,3.87.1,臺中市政府秘書處,11209261430,113年臺中市政府文心第二市政大樓保全警衛勤務暨系統採購,<勞務類>873調查及保安服務,經公開評選或公開徵求之限制性招標,準用最有利標,4250796,4250796,1,勤益國際保全股份有限公司,臺中市(非原住民地區),臺中市－西屯區,113/01/01－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70476273.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11209261430.json
3.87.1|11210040945|20240102|BDM-1-70475999,2024,20240102,2023-12-28,3.87.1,臺中市政府秘書處,11210040945,113年臺中市政府臺灣大道及文心第二市政大樓環境清潔維護採購,<勞務類>874建築物清潔服務,經公開評選或公開徵求之限制性招標,準用最有利標,16811368,16811368,1,綠地環保事業股份有限公司,臺中市(非原住民地區),臺中市－西屯區,113/01/01－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475999.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11210040945.json
3.87.1|11210161113|20240102|BDM-1-70475772,2024,20240102,2023-12-26,3.87.1,臺中市政府秘書處,11210161113,113年臺中市政府臺灣大道及文心第二市政大樓門禁系統設備維護保養採購,<勞務類>849其他電腦服務,公開取得報價單或企劃書,參考最有利標精神,315000,315000,1,上旗科技有限公司,臺中市(非原住民地區),臺中市－西屯區,113/01/01－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475772.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11210161113.json
3.87.1|11210301047|20240102|BDM-1-70475338,2024,20240102,2023-12-27,3.87.1,臺中市政府秘書處,11210301047,113年度臺中市政府通訊及話務系統設備維護採購案,<勞務類>754電信相關服務,經公開評選或公開徵求之限制性招標,準用最有利標,4398000,4320000,1,常亨資訊股份有限公司,臺中市(非原住民地區),"臺中市－西屯區,臺中市－豐原區",113/01/01－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475338.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11210301047.json
3.87.1|11211021650|20240102|BDM-1-70476486,2024,20240102,2023-12-26,3.87.1,臺中市政府秘書處,11211021650,臺中市政府113年度致意各界蘭花組合採購案,"<財物類>01農業,園藝及市場園藝產品",公開取得報價單或企劃書,參考最有利標精神,1450000,1450000,2,大大鮮花店；德億鮮花店,其他,其他－其他,113/01/01－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70476486.xml,data/raw/taichung/2024/tenders/20240102_3.87.1_11211021650.json
3.87.10|112B-035|20240102|BDM-1-70475390,2024,20240102,2023-12-28,3.87.10,臺中市政府建設局,112B-035,113年水湳經貿園區共同管道保全與管理維護,<勞務類>873調查及保安服務,經公開評選或公開徵求之限制性招標,準用最有利標,15000000,15000000,1,警聯保全股份有限公司,臺中市(非原住民地區),臺中市－全區,113/01/07－115/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475390.xml,data/raw/taichung/2024/tenders/20240102_3.87.10_112B-035.json
3.87.10|112B-039|20240102|BDM-1-70475615,2024,20240102,2023-12-29,3.87.10,臺中市政府建設局,112B-039,113年度臺中市轄內橋梁檢測工作,<勞務類>8673綜合工程服務,經公開評選或公開徵求之限制性招標,準用最有利標,30000000,30000000,1,劦盛工程顧問有限公司,臺中市(非原住民地區),臺中市－全區,113/01/08－114/06/30(預估),,,橋梁,1,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70475615.xml,data/raw/taichung/2024/tenders/20240102_3.87.10_112B-039.json
3.87.10|112B-040|20240102|BDM-1-70474913,2024,20240102,2023-12-28,3.87.10,臺中市政府建設局,112B-040,113年度臺中市政府建設局資訊系統整合暨決策平臺系統維護服務,<勞務類>845辦公室機器及設備(包括電腦)之維修服務,公開取得報價單或企劃書,參考最有利標精神,1062000,1062000,1,逢甲大學,臺中市(非原住民地區),臺中市－全區,113/01/07－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70474913.xml,data/raw/taichung/2024/tenders/20240102_3.87.10_112B-040.json
3.87.10|112B-041|20240102|BDM-1-70474920,2024,20240102,2023-12-28,3.87.10,臺中市政府建設局,112B-041,臺中市113年度亮點型公園綠美化維護工作-鰲峰山公園,<勞務類>97其他服務,經公開評選或公開徵求之限制性招標,準用最有利標,8323500,8323500,1,欣樺股份有限公司,臺中市(非原住民地區),臺中市－清水區,113/01/07－113/12/31(預估),,,,0,0,https://web.pcc.gov.tw/prkms/tender/common/noticeDate/redirectPublic?ds=20240102&fn=BDM-1-70474920.xml,data/raw/taichung/2024/tenders/20240102_3.87.10_112B-041.json
