case_key,year,unit_name,job_number,title,award_date,vendor_name,vendor_id,case_award_amount,winner_count,amount_warning
3.76.55|90030801|20140922|BDM-1-51358325,2014,花蓮縣政府,90030801,公文交換管理系統委外服務案,2001-04-02,英福達科技股份有限公司,,7600000,1,
3.76.55|S91082201|20141203|BDM-1-51422499,2014,花蓮縣政府,S91082201,硬體設備改修工程,2002-09-10,森立土木包工業,,1010000,1,
3.76.55|S91082202|20141203|BDM-1-51422492,2014,花蓮縣政府,S91082202,空調溫控設備改修及新增送風機工程,2002-09-10,國順工程有限公司,,265000,1,
3.76.55|94oce675|20141001|BDM-1-51365513,2014,花蓮縣政府,94oce675,花蓮縣政府辦理94年度身心障礙者職業輔導評量委託服務,2005-08-30,佛教慈濟醫療財團法人花蓮慈濟醫院,,1430000,1,
3.76.55|961211|20140909|BDM-1-51347586,2014,花蓮縣政府,961211,花蓮縣政府駐地方法院家庭暴力服務處招標,2008-03-07,財團法人現代婦女教育基金會,,974424,1,
3.76.55|W0980512-2|20140911|BDM-1-51350071,2014,花蓮縣政府,W0980512-2,月眉排水改善工程,2009-05-19,錦鴻土木包工業,,670000,1,
3.76.55|2010225701|20140902|BDM-1-51343778,2014,花蓮縣政府,2010225701,2010花蓮縣政府便民服務手冊,2009-08-13,原鄉興業有限公司,,890000,1,
3.76.55|EPB98101201|20140905|BDM-1-51347126,2014,花蓮縣政府,EPB98101201,花蓮縣98年度「公有垃圾衛生掩埋場監視系統裝設計畫」,2009-12-01,高鋒電訊科技有限公司,,1770000,1,
3.76.55|EPB98111601|20140905|BDM-1-51347174,2014,花蓮縣政府,EPB98111601,花蓮縣環保局98年度環保機具採購,2009-12-08,蓮營農業社,,1600000,1,
3.76.55|sc9808|20141015|BDM-1-51375996,2014,花蓮縣政府,sc9808,失能老人及身心障礙者居家服務暨中低收入老人特別照顧督導訪視服務,2009-12-11,財團法人門諾社會福利慈善事業基金會,,48000000,1,
3.76.55|sc9801|20141024|BDM-1-51385945,2014,花蓮縣政府,sc9801,我國長期照顧十年計畫交通接送服務,2009-12-14,財團法人門諾社會福利慈善事業基金會,,8676500,1,
3.76.55|SWC98120203|20140905|BDM-1-51347489,2014,花蓮縣政府,SWC98120203,98年芭瑪颱風災害復建工程委託設計、監造工作,2009-12-15,揚昇工程顧問有限公司,,613200,1,
3.76.55|SWC98111702|20140822|BDM-1-51336314,2014,花蓮縣政府,SWC98111702,98年度花蓮縣壽豐漁村再生及綠美化工程,2009-12-16,承太營造有限公司,,6920000,1,
3.76.55|BE98120901|20140901|BDM-1-51342742,2014,花蓮縣政府,BE98120901,瑞美國民小學活動中心補強與補照工程,2009-12-23,金源土木包工業,,1480000,1,
3.76.55|SWC98120402|20140822|BDM-1-51335484,2014,花蓮縣政府,SWC98120402,干城農路設施改善工程,2009-12-30,展利土木包工業,,1340000,1,
3.76.55|CA98121801|20140829|BDM-1-51341271,2014,花蓮縣政府,CA98121801,99年度「花蓮縣戶役政資訊系統電腦硬軟體設備維護」案勞務採購,2010-01-05,大同股份有限公司花蓮分公司,,1177800,1,
3.76.55.56|99001|20141231|BDM-1-51458716,2014,花蓮縣壽豐鄉公所,99001,壽豐鄉99年度路燈照維修,2010-01-14,諭潔企業社,,1230000,1,
3.76.55|TR99012801|20140910|BDM-1-51349322,2014,花蓮縣政府,TR99012801,白鮑溪自行車道災害復建工程,2010-02-10,峪灃營造股份有限公司,,1200000,1,
3.76.55|SE99012101|20140922|BDM-1-51358458,2014,花蓮縣政府,SE99012101,99年度花蓮縣下水道維護及搶修﹝險﹞工程開口契約,2010-02-12,翊聖土木包工業,,3388800,1,
3.76.55|SWC99042101|20140822|BDM-1-51335722,2014,花蓮縣政府,SWC99042101,鶴岡村24鄰阿夜溪RC堤防崩塌修復工程,2010-05-04,平順土木包工業,,790000,1,
3.76.55|E99042001|20140902|BDM-1-51343343,2014,花蓮縣政府,E99042001,99年度天然災害搶險搶修工程開口契約採購,2010-05-11,景盛土木包工業,,2950000,1,
3.76.55|swc99031101|20140822|BDM-1-51335668,2014,花蓮縣政府,swc99031101,花蓮縣99年度災後復建工程設計監造技術服務開口契約,2010-05-11,台典工程顧問股份有限公司,,2400000,1,
3.76.55|SE99050601|20140910|BDM-1-51349148,2014,花蓮縣政府,SE99050601,99年度花蓮縣雨水下水道災害搶修(險)工程開口契約,2010-05-26,翊聖土木包工業,,810000,1,
3.76.55|BE99060203|20141212|BDM-1-51434742,2014,花蓮縣政府,BE99060203,明里國小教學大樓及專科教室耐震補強工程,2010-06-15,承翰營造有限公司,,3440000,1,
3.76.55|BE99060101|20140825|BDM-1-51336929,2014,花蓮縣政府,BE99060101,源城國小北邊教室補強工程,2010-06-29,辰政營造有限公司,,1810000,1,
3.76.55|BE99060902|20140821|BDM-1-51335190,2014,花蓮縣政府,BE99060902,花蓮縣景美國小航空噪音防制設施工程,2010-06-29,元盛鐵工廠,,1980000,1,
3.76.55|SE99061701|20140910|BDM-1-51349106,2014,花蓮縣政府,SE99061701,玉里鎮和平路、民權街排水改善工程,2010-07-13,平順土木包工業,,1520000,1,
3.76.55|E99070501|20140827|BDM-1-51339259,2014,花蓮縣政府,E99070501,禮品、摸彩品開口契約採購案,2010-07-20,佑倡電器工程行,,859100,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|E99070501|20140827|BDM-1-51339259,2014,花蓮縣政府,E99070501,禮品、摸彩品開口契約採購案,2010-07-20,建德車行,,859100,2,多家得標時不可按廠商列直接加總案件金額
3.76.55|SE99062901|20140911|BDM-1-51349707,2014,花蓮縣政府,SE99062901,花蓮市中華路及重慶路雨水下水道工程,2010-07-27,旭城營造有限公司,,3290000,1,
3.76.55|SWC99072104|20140822|BDM-1-51336083,2014,花蓮縣政府,SWC99072104,豐濱鄉彰化新村八里灣溪過水路面工程,2010-08-03,平順土木包工業,,720000,1,
3.76.55|TR99061801|20140910|BDM-1-51349175,2014,花蓮縣政府,TR99061801,風景區公共設施維護修繕工程,2010-08-03,群桔營造有限公司,,1520000,1,
3.76.55|EPB99072301|20140905|BDM-1-51347219,2014,花蓮縣政府,EPB99072301,花蓮縣環境保護局99年度環保機具採購,2010-08-11,養豐企業,,1736000,1,
3.76.55|SWC99082301|20140909|BDM-1-51347937,2014,花蓮縣政府,SWC99082301,花蓮縣休閒產業推廣客服中心工程,2010-09-07,東燁營造有限公司,,1845000,1,
3.76.55|ca099112601|20140829|BDM-1-51341434,2014,花蓮縣政府,ca099112601,花蓮縣99年「情定洄瀾  戀戀花蓮」集團結婚活動,2010-09-28,遠雄悅來大飯店股份有限公司,,2805000,1,
3.76.55|990921|20140903|BDM-1-51343940,2014,花蓮縣政府,990921,花蓮縣民服務手冊,2010-10-19,遠景印刷企業有限公司,,1000000,1,
3.76.55|99112601|20140904|BDM-1-51346140,2014,花蓮縣政府,99112601,花蓮無毒農業平面雜誌行銷採購,2010-12-10,遠見天下文化出版股份有限公司,,1200000,1,
3.76.55|SWC99111801|20140910|BDM-1-51349174,2014,花蓮縣政府,SWC99111801,99年度花蓮縣光復鄉大富村一號崩塌地特定水土保持加強工程(99ND03-004),2010-12-20,盛昌土木包工業,,2630000,1,
3.76.55|HA99121001|20140822|BDM-1-51335934,2014,花蓮縣政府,HA99121001,鳳林鎮衛生所車庫及櫥櫃/玉里鎮衛生所地坪工程,2010-12-21,唐佑營造有限公司,,1239000,1,
3.76.55|SWC99120901|20140822|BDM-1-51335550,2014,花蓮縣政府,SWC99120901,99年梅姬颱風災害復建工程委託設計、監造工作,2010-12-21,欣東宜工程顧問有限公司,,910000,1,
3.76.55|BE99121501|20140901|BDM-1-51342716,2014,花蓮縣政府,BE99121501,瑞美國民小學游泳池整修工程,2010-12-28,亞群體育事業有限公司,,4488000,1,
3.76.55|SWC99121701|20140909|BDM-1-51347948,2014,花蓮縣政府,SWC99121701,花蓮縣壽豐鄉志學有機農業生產專區-農水路基礎改善工程,2010-12-28,承太營造有限公司,,7550000,1,
3.76.55|PB99122401|20140826|BDM-1-51337562,2014,花蓮縣政府,PB99122401,99年「凡那比風災損壞路口監視系統之維護」採購案－（洄瀾夢土道路安全系統部分）,2011-01-04,富傑科技有限公司,,1031940,1,
3.76.55|sc100|20140909|BDM-1-51347594,2014,花蓮縣政府,sc100,花蓮縣政府駐台灣花蓮地方法院家庭暴力事件服務處,2011-01-06,財團法人現代婦女教育基金會,,974424,1,
3.76.55|SE100022402|20140911|BDM-1-51349763,2014,花蓮縣政府,SE100022402,100年度花蓮縣下水道維護及搶修(險)工程開口契約,2011-03-15,翊聖土木包工業,,3710000,1,
3.76.55|PB10030801|20140826|BDM-1-51337728,2014,花蓮縣政府,PB10030801,100年度「道路監控設備系統維護」招標案,2011-03-22,晉斌科技有限公司,,1890000,1,
3.76.55|PB10040701|20140826|BDM-1-51337596,2014,花蓮縣政府,PB10040701,100年度中央一般性補助辦理施政項目治安防治專案-建置重要路口監視系統採購案,2011-04-19,上瀛通信器材有限公司,,6268900,1,
